entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry,holding_days
2024-04-16,2024-04-16,000027,7.49,7.27,-2.97,-3.17,59.11711103457512,"{'trend': 1.11243252372583, 'momentum': 1.2862250608019714, 'quality': -0.22112232151153763, 'sentiment': 1.055963912998359, 'valuation': 0.9639874902633784, 'liquidity': -0.8988911579445146, 'size': 0.9268328157378516}",T+1平仓,其他,1
2024-04-18,2024-04-18,000028,34.13,33.77,-1.05,-1.25,58.476669345155514,"{'trend': 0.7490633252130403, 'momentum': 1.4306478526368593, 'quality': 0.04554594848239072, 'sentiment': 0.5751013105362832, 'valuation': 0.7836536437029886, 'liquidity': 0.37384583211950106, 'size': -0.08139703751453643}",T+1平仓,其他,1
2024-04-19,2024-04-19,000037,8.29,8.49,2.36,2.16,58.509452954400764,"{'trend': 1.547974003216794, 'momentum': 0.7376183406619147, 'quality': -0.2394862618719021, 'sentiment': 1.6103033991594224, 'valuation': -1.2124819729413392, 'liquidity': 2.7412843230299835, 'size': -1.378772967645914}",T+1平仓,其他,1
2024-04-22,2024-04-22,000030,5.61,5.39,-3.94,-4.14,56.464312832428206,"{'trend': 0.5621131516044111, 'momentum': 0.4087922636655764, 'quality': -0.23892994168129136, 'sentiment': 1.3674044015271403, 'valuation': 0.914582399954253, 'liquidity': -1.1485051973345062, 'size': 1.0624017588870298}",T+1平仓,其他,1
2024-04-24,2024-04-24,000028,34.17,34.57,1.15,0.95,61.42912303048467,"{'trend': 1.774696011549126, 'momentum': 2.0224050927648785, 'quality': -0.25611395506998147, 'sentiment': 0.5072676422660832, 'valuation': 0.9087908414088398, 'liquidity': 0.3432414540277853, 'size': -0.07590816391492337}",T+1平仓,其他,1
2024-04-26,2024-04-26,000030,5.46,5.55,1.63,1.43,55.766404330427335,"{'trend': 0.6871676338906121, 'momentum': 0.7202858105352331, 'quality': -0.25408577949752864, 'sentiment': 0.4769011109356338, 'valuation': 1.0213688232786962, 'liquidity': -0.8164373270202975, 'size': 0.9092246797816114}",T+1平仓,其他,1
2024-04-30,2024-04-30,000028,35.13,34.74,-1.11,-1.31,63.17706025177027,"{'trend': 1.8875479168332985, 'momentum': 1.8421905903103044, 'quality': -0.2415009816548107, 'sentiment': 1.2332500958551764, 'valuation': 1.131893042173992, 'liquidity': -0.6982092871848402, 'size': 0.6236219099068755}",T+1平仓,其他,1
2024-05-06,2024-05-06,000030,5.81,5.84,0.38,0.18,58.278907986453305,"{'trend': 0.9828225578400054, 'momentum': 0.9379978904200424, 'quality': -0.2225552041284989, 'sentiment': 0.9218225129335004, 'valuation': 1.144488657858876, 'liquidity': -0.7424663154370268, 'size': 0.6637793988888719}",T+1平仓,其他,1
2024-05-07,2024-05-07,000028,36.95,36.55,-1.08,-1.28,62.288647057008745,"{'trend': 1.9085199089694727, 'momentum': 2.288070916592928, 'quality': -0.2415009816548107, 'sentiment': 0.34302279228321414, 'valuation': 1.131893042173992, 'liquidity': -0.4506672030228621, 'size': 0.4855749003361525}",T+1平仓,其他,1
2024-05-08,2024-05-08,000019,6.72,6.58,-2.18,-2.38,55.76809304369657,"{'trend': 0.16653669709753147, 'momentum': 0.1350692625875737, 'quality': -0.2368766890614021, 'sentiment': 1.539127508850299, 'valuation': 0.9715132169031276, 'liquidity': -0.4808213704148015, 'size': 0.5211761360665143}",T+1平仓,其他,1
2024-05-09,2024-05-09,000021,13.71,13.66,-0.37,-0.57,56.53529264565766,"{'trend': 0.41956437355261467, 'momentum': 0.4952067987407006, 'quality': -0.24128644167310798, 'sentiment': 1.5384101260451952, 'valuation': 0.6223184046713696, 'liquidity': -0.16917934437028495, 'size': 0.33477557043533623}",T+1平仓,其他,1
2024-05-10,2024-05-10,000030,5.92,5.77,-2.68,-2.88,56.98001403881936,"{'trend': 1.2155846814821734, 'momentum': 1.3861169410058376, 'quality': -0.23928077087313887, 'sentiment': -0.2521034764794299, 'valuation': 1.166634831334693, 'liquidity': -1.0975426081056623, 'size': 1.0299775136536125}",T+1平仓,其他,1
2024-05-13,2024-05-13,000028,38.5,39.36,2.24,2.04,69.59480147304117,"{'trend': 2.483074609739858, 'momentum': 2.775720872228982, 'quality': -0.2540532593693058, 'sentiment': 2.1854520871320022, 'valuation': 1.3359650648393742, 'liquidity': -0.4310179446951848, 'size': 0.4751141624982896}",T+1平仓,其他,1
2024-05-14,2024-05-14,000030,5.81,5.76,-0.99,-1.19,57.00448035933496,"{'trend': 1.1358363289296085, 'momentum': 0.6890011171508649, 'quality': -0.229934620323566, 'sentiment': 0.48962505565150133, 'valuation': 1.0924721879500774, 'liquidity': -0.9752642874649041, 'size': 0.9456461132240378}",T+1平仓,其他,1
2024-05-17,2024-05-17,000028,40.39,38.55,-4.55,-4.75,57.765142165336925,"{'trend': 2.2154991851224604, 'momentum': 1.8020281407805137, 'quality': -0.2626230195216376, 'sentiment': -1.6470209962566353, 'valuation': 1.2600726020197048, 'liquidity': -0.800466339670471, 'size': 0.6640446696189757}",T+1平仓,其他,1
2024-05-20,2024-05-20,000034,30.33,30.46,0.43,0.23,55.40956665691554,"{'trend': 0.30036217213758853, 'momentum': 0.33210669559330463, 'quality': -0.23971617709159035, 'sentiment': 0.454870659244813, 'valuation': 0.6983050690510471, 'liquidity': 1.2914051314500985, 'size': -0.32167059193758246}",T+1平仓,其他,1
2024-05-21,2024-05-21,000028,39.4,38.18,-3.1,-3.3,57.09671529324891,"{'trend': 1.6940589546213936, 'momentum': 0.8338284464737413, 'quality': -0.2642556608620021, 'sentiment': -0.15447508807484878, 'valuation': 1.081602606886626, 'liquidity': -1.08392906620313, 'size': 0.8828588764189779}",T+1平仓,其他,1
2024-06-04,2024-06-04,000007,4.86,4.83,-0.75,-0.95,62.48149949669615,"{'trend': 2.6232096602603643, 'momentum': 2.7778194990199507, 'quality': -0.1575377563728644, 'sentiment': -0.10666081364699907, 'valuation': -0.14427550535482453, 'liquidity': 0.040196056681480956, 'size': 0.23859509790063507}",T+1平仓,其他,1
2024-06-05,2024-06-05,000028,37.92,36.99,-2.46,-2.66,57.402801883500416,"{'trend': 0.9862317356272136, 'momentum': 0.9349369594197491, 'quality': -0.28368388595741095, 'sentiment': 0.6488810293952756, 'valuation': 1.11916922399891, 'liquidity': -0.8419851284844695, 'size': 0.8169864706989296}",T+1平仓,其他,1
2024-06-06,2024-06-06,000021,13.87,13.71,-1.18,-1.38,57.69637514497245,"{'trend': -0.03375873897845997, 'momentum': 0.5626398640406134, 'quality': -0.27241397174826354, 'sentiment': 1.4952132382165109, 'valuation': 0.4528953667183393, 'liquidity': 2.1678457825728734, 'size': -0.6339846544337103}",T+1平仓,其他,1
2024-06-12,2024-06-12,000021,15.28,15.68,2.61,2.41,65.16002562147877,"{'trend': 1.1121757272224144, 'momentum': 2.4265914104570028, 'quality': -0.024686214322226254, 'sentiment': 1.1389631936446902, 'valuation': 0.3993128184356489, 'liquidity': 2.77330617120119, 'size': -0.8254105504558866}",T+1平仓,其他,1
