entry_date,exit_date,code,entry_price,exit_price,gross_return,net_return,score,factors,exit_reason,industry
2026-01-27,2026-01-27,000048,19.47,18.99,-2.48,-2.68,69.28399298332612,"{'trend': 2.436945341787365, 'momentum': 3.0, 'quality': -0.09953024559178991, 'sentiment': 0.4551905066753577, 'valuation': 1.08783218346994, 'liquidity': 0.8227150028733464}",T+1平仓,其他
2026-01-27,2026-01-27,000021,29.48,29.95,1.58,1.38,68.94542009790672,"{'trend': 2.121527066772446, 'momentum': 1.4493139032073856, 'quality': -0.14510611330920473, 'sentiment': 2.466441024477686, 'valuation': 0.7348287300296256, 'liquidity': 1.3341483067578026}",T+1平仓,其他
2026-01-28,2026-01-28,600531,21.99,22.29,1.38,1.18,70.07857312240749,"{'trend': -0.06873097784727476, 'momentum': 3.0, 'quality': 0.49566824480789784, 'sentiment': 3.0, 'valuation': 0.265920440508539, 'liquidity': 3.0}",T+1平仓,其他
2026-01-28,2026-01-28,688380,51.65,54.01,4.56,4.36,68.42926076118866,"{'trend': -0.06873097784727476, 'momentum': 2.069429129254599, 'quality': 0.8338250520862805, 'sentiment': 3.0, 'valuation': 0.07592099921626233, 'liquidity': 3.0}",T+1平仓,其他
2026-01-29,2026-01-29,002131,8.59,9.46,10.14,9.94,70.34844904766068,"{'trend': -0.03875898311912919, 'momentum': 3.0, 'quality': 1.1808258100152054, 'sentiment': 3.0, 'valuation': -0.12115058404894434, 'liquidity': 2.523800212746192}",T+1平仓,其他
2026-01-29,2026-01-29,002165,10.91,11.53,5.67,5.47,69.39974574143316,"{'trend': -0.03875898311912919, 'momentum': 1.5959297685409826, 'quality': 1.8869054182664877, 'sentiment': 2.9390061684434627, 'valuation': -0.28276647407463645, 'liquidity': 3.0}",T+1平仓,其他
2026-01-29,2026-01-29,000751,7.86,7.46,-5.0,-5.2,69.25336597827149,"{'trend': -0.03875898311912919, 'momentum': 3.0, 'quality': 1.3044323087664418, 'sentiment': 2.6073478802940926, 'valuation': -0.2274776870795908, 'liquidity': 2.348164221271075}",止损(-5%),其他
2026-01-30,2026-01-30,002165,11.3,12.69,12.34,12.14,71.13510746541684,"{'trend': -0.03313479230498406, 'momentum': 2.2983763775017723, 'quality': 1.885047162803443, 'sentiment': 3.0, 'valuation': -0.2806588318191734, 'liquidity': 3.0}",T+1平仓,其他
2026-01-30,2026-01-30,688380,53.09,57.34,8.0,7.8,69.08782262679878,"{'trend': -0.03313479230498406, 'momentum': 3.0, 'quality': 0.7964484143674222, 'sentiment': 2.439190248242225, 'valuation': 0.0760795276257975, 'liquidity': 2.8876434127927166}",T+1平仓,其他
2026-01-30,2026-01-30,600618,16.23,15.42,-5.0,-5.2,67.8313025034795,"{'trend': -0.03313479230498406, 'momentum': 1.710589816780141, 'quality': 2.4417256579706064, 'sentiment': 1.8861790801501195, 'valuation': 0.2642663325415791, 'liquidity': 1.146667260509874}",止损(-5%),其他
2026-02-02,2026-02-02,002112,21.45,21.39,-0.29,-0.49,70.84828524569807,"{'trend': -0.02629548104672625, 'momentum': 2.1254725800126932, 'quality': 1.6678145230586814, 'sentiment': 3.0, 'valuation': 0.002329440853602764, 'liquidity': 2.9229509947152175}",T+1平仓,其他
2026-02-02,2026-02-02,002131,9.51,9.8,3.02,2.82,70.17279437944858,"{'trend': -0.02629548104672625, 'momentum': 3.0, 'quality': 1.17738823908505, 'sentiment': 2.7294752622415497, 'valuation': -0.1272571548911441, 'liquidity': 2.806645486642367}",T+1平仓,其他
2026-02-03,2026-02-03,603396,48.53,50.14,3.33,3.13,78.85861385219154,"{'trend': 3.0, 'momentum': 1.8669469910404808, 'quality': 2.290959947951608, 'sentiment': 2.6147179103918545, 'valuation': -0.13057185111909428, 'liquidity': 2.1958023556474884}",T+1平仓,其他
2026-02-03,2026-02-03,600986,15.02,15.29,1.77,1.57,78.11855962208149,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.6726375710658035, 'sentiment': 3.0, 'valuation': -0.2997843637053053, 'liquidity': 3.0}",T+1平仓,其他
2026-02-04,2026-02-04,002112,24.44,24.75,1.26,1.06,79.0338391811425,"{'trend': 2.9144001143995895, 'momentum': 3.0, 'quality': 1.678050493661104, 'sentiment': 1.570983733639465, 'valuation': 0.003740291798765115, 'liquidity': 3.0}",T+1平仓,其他
2026-02-04,2026-02-04,002165,14.64,13.91,-5.0,-5.2,77.77824281242509,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.8917309258118202, 'sentiment': 0.9764650034102789, 'valuation': -0.28675022669140937, 'liquidity': 3.0}",止损(-5%),其他
2026-02-04,2026-02-04,603396,51.22,52.91,3.31,3.11,77.59409817215641,"{'trend': 2.3661010340549837, 'momentum': 2.367747063363712, 'quality': 2.300347105823851, 'sentiment': 1.8659623363618743, 'valuation': -0.12553668884159405, 'liquidity': 2.6252842416179716}",T+1平仓,其他
2026-02-05,2026-02-05,603103,29.1,31.31,7.61,7.41,77.25052098201178,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.9559349138385927, 'sentiment': 3.0, 'valuation': -0.06995656968836245, 'liquidity': 1.3950572997073942}",T+1平仓,其他
2026-02-05,2026-02-05,600986,15.09,15.42,2.23,2.03,76.10664641592288,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.6698981376630023, 'sentiment': 2.099583306741864, 'valuation': -0.29237014574510695, 'liquidity': 3.0}",T+1平仓,其他
2026-02-05,2026-02-05,002969,22.8,25.01,9.71,9.51,75.47085888559721,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.8886379312372584, 'sentiment': 3.0, 'valuation': -0.29237014574510695, 'liquidity': 0.788037019413833}",T+1平仓,其他
2026-02-06,2026-02-06,002112,23.37,25.14,7.56,7.36,82.02323974262785,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.6679033703040378, 'sentiment': 3.0, 'valuation': 0.006509877238579117, 'liquidity': 3.0}",T+1平仓,其他
2026-02-06,2026-02-06,002842,26.15,28.15,7.62,7.42,77.60244930792061,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.3633869882036968, 'sentiment': 3.0, 'valuation': 0.019268337638000413, 'liquidity': 2.636322220263681}",T+1平仓,其他
2026-02-09,2026-02-09,002830,32.48,33.44,2.96,2.76,78.20867205568108,"{'trend': 2.9943033628355304, 'momentum': 3.0, 'quality': 0.37884356908875805, 'sentiment': 3.0, 'valuation': 0.029743753302736323, 'liquidity': 3.0}",T+1平仓,其他
2026-02-09,2026-02-09,002455,12.38,12.12,-2.18,-2.38,77.53059093073131,"{'trend': 2.9104536405303096, 'momentum': 3.0, 'quality': 0.5558514649372283, 'sentiment': 3.0, 'valuation': -0.28944146189043507, 'liquidity': 3.0}",T+1平仓,其他
2026-02-10,2026-02-10,002842,31.02,31.51,1.58,1.38,76.18030061457057,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.371721671232583, 'sentiment': 2.1335304421835897, 'valuation': 0.015990540758484426, 'liquidity': 2.9778136557895216}",T+1平仓,其他
2026-02-10,2026-02-10,603103,39.6,39.97,0.92,0.72,76.0398382051016,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.9699103983561047, 'sentiment': 3.0, 'valuation': -0.07194507543825514, 'liquidity': 0.5639614908986977}",T+1平仓,其他
2026-02-10,2026-02-10,002969,28.34,30.09,6.16,5.96,75.96594231031631,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.9017685871841524, 'sentiment': 3.0, 'valuation': -0.29474374053154384, 'liquidity': 1.0965785135723252}",T+1平仓,其他
2026-02-11,2026-02-11,002378,25.27,27.34,8.15,7.95,77.88688854509152,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.581505308230586, 'sentiment': 3.0, 'valuation': -0.24064602367631371, 'liquidity': 0.9095404609524702}",T+1平仓,其他
2026-02-11,2026-02-11,002842,32.45,34.62,6.69,6.49,77.82279078622257,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.3757608262784698, 'sentiment': 3.0, 'valuation': 0.019138355316278603, 'liquidity': 2.758728827625547}",T+1平仓,其他
2026-02-12,2026-02-12,002112,24.9,24.65,-1.02,-1.22,78.06078071049205,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.6848924085453343, 'sentiment': 1.2216267543715946, 'valuation': 0.0024810958399858504, 'liquidity': 3.0}",T+1平仓,其他
2026-02-12,2026-02-12,002378,28.69,30.07,4.79,4.59,77.75814065499819,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.5735372247539183, 'sentiment': 3.0, 'valuation': -0.24816688431375655, 'liquidity': 0.8546864224518012}",T+1平仓,其他
2026-02-13,2026-02-13,603163,117.78,127.57,8.31,8.11,75.11636164509115,"{'trend': 2.821131764107213, 'momentum': 3.0, 'quality': 0.8663329679629763, 'sentiment': 3.0, 'valuation': 0.03776082574377096, 'liquidity': 0.29378998109951326}",T+1平仓,其他
2026-02-13,2026-02-13,002498,6.35,6.7,5.46,5.26,74.19638782078258,"{'trend': 2.696222509023224, 'momentum': 3.0, 'quality': -0.028305073975298606, 'sentiment': 3.0, 'valuation': 0.13939936985256532, 'liquidity': 1.516291604054072}",T+1平仓,其他
2026-02-24,2026-02-24,002165,11.76,12.38,5.31,5.11,79.5892445244775,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.9005576846274757, 'sentiment': 2.7303682311662367, 'valuation': -0.30002472261689567, 'liquidity': 2.6090302011789697}",T+1平仓,其他
2026-02-24,2026-02-24,603980,8.03,8.17,1.77,1.57,77.66175534225013,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.9213281427808178, 'sentiment': 1.5294860861991628, 'valuation': -0.01117263881941198, 'liquidity': 2.40996145829077}",T+1平仓,其他
2026-02-25,2026-02-25,002378,31.9,33.18,4.03,3.83,78.58080730606466,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.574208359244875, 'sentiment': 3.0, 'valuation': -0.2393681056405828, 'liquidity': 1.3841910301678564}",T+1平仓,其他
2026-02-25,2026-02-25,603980,8.69,8.31,-4.45,-4.65,76.07707973042565,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.9199023270290736, 'sentiment': 0.2788349720566419, 'valuation': -0.0020516156432577965, 'liquidity': 2.630765939427179}",T+1平仓,其他
2026-02-25,2026-02-25,002165,12.53,12.64,0.9,0.7,75.43831310914618,"{'trend': 2.9942849643362246, 'momentum': 3.0, 'quality': 1.8992353024045547, 'sentiment': 0.427378126983332, 'valuation': -0.2825853848239319, 'liquidity': 2.5959384517887605}",T+1平仓,其他
2026-02-26,2026-02-26,001896,11.16,12.0,7.48,7.28,81.09483788363887,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.330926406694986, 'sentiment': 3.0, 'valuation': 0.11152507912071084, 'liquidity': 2.8449889507945194}",T+1平仓,其他
2026-02-26,2026-02-26,002378,35.94,36.5,1.57,1.37,78.20873327060512,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.589868999584828, 'sentiment': 3.0, 'valuation': -0.24339342899605357, 'liquidity': 1.1128710392258643}",T+1平仓,其他
2026-02-26,2026-02-26,600841,10.26,11.02,7.37,7.17,76.73650781534975,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.8606417259144268, 'sentiment': 3.0, 'valuation': 0.3294093223310912, 'liquidity': 0.44423644707546495}",T+1平仓,其他
2026-02-27,2026-02-27,002378,38.96,40.15,3.05,2.85,78.65927362326629,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.6089599397788903, 'sentiment': 3.0, 'valuation': -0.2471248617582684, 'liquidity': 1.3825122594696155}",T+1平仓,其他
2026-02-27,2026-02-27,001896,12.9,13.19,2.27,2.07,78.500314502962,"{'trend': 3.0, 'momentum': 3.0, 'quality': 1.3479903215672726, 'sentiment': 3.0, 'valuation': 0.11152687476213793, 'liquidity': 1.0811752759825097}",T+1平仓,其他
2026-03-02,2026-03-02,600759,6.91,6.75,-2.18,-2.38,77.42271804145723,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.43803049485170253, 'sentiment': 3.0, 'valuation': 0.07011844543671322, 'liquidity': 2.265514147061323}",T+1平仓,其他
2026-03-02,2026-03-02,002842,43.6,45.22,3.7,3.5,77.08722241147628,"{'trend': 3.0, 'momentum': 3.0, 'quality': 0.380506359692961, 'sentiment': 3.0, 'valuation': 0.011361343471674735, 'liquidity': 2.2744128679882416}",T+1平仓,其他
